subway_name,latitude,longitude
农业展览馆,39.94038023706809,116.45598024400162
亮马桥,39.947753424321824,116.4557586844966
三元桥,39.96002385684305,116.45067242382805
太阳宫,39.97143338843039,116.44131142553749
芍药居,39.976428996616555,116.42993422160136
安贞门,39.975573772363326,116.39972025215286
北土城,39.97528308978796,116.38819270458194
建德门,39.975311672610935,116.37510722848657
牡丹园,39.97493336293462,116.36367404801872
西土城,39.97482540467056,116.34767349860802
知春路,39.97513375533246,116.3337772030844
知春里,39.97499907305427,116.32247877505085
海淀黄庄,39.97471181460492,116.31146392172708
苏州街,39.97436033008925,116.30017190251509
巴沟,39.972918743082886,116.28798813876146
火器营,39.96476967075145,116.28294931474417
长春桥,39.95705704941714,116.28831679898342
车道沟,39.94688052302113,116.28780931153354
西钓鱼台,39.922039938466355,116.29159310658935
